ncessch,name,state_code,latitude,longitude,zip_code,city,address,school_type,school_type_text,total_students,total_09,total_10,total_11,total_12,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,free_reduced_lunch
A0502124,JOHN F KENNEDY CATHOLIC SCHOOL,MO,38.6014678,-90.5077333,63011,MANCHESTER,500 WOODS MILL RD,1,Regular elementary or secondary,259,53,59,77,70,237,8,6,3,1,2,2,0
A0502189,AMERICAN HERITAGE ACADEMY,NV,36.07769,-115.091556,89120,LAS VEGAS,6126 SANDHILL ROAD,1,Regular elementary or secondary,336,14,23,14,11,293,5,23,13,0,2,0,0
A0502200,EXCEL CHRISTIAN SCHOOL,NV,39.55743,-119.731521,89434,SPARKS,850 BARING BLVD,1,Regular elementary or secondary,258,14,18,14,19,195,10,24,14,6,6,3,0
A0502278,DARUL ARQAM SCHOOL,NJ,40.45142,-74.382751,08882,SOUTH RIVER,8 THOMAS ST,1,Regular elementary or secondary,191,12,13,14,11,100,12,0,79,0,0,0,0
A0502296,AL-GHAZALY JR./SR. HIGH SCHOOL,NJ,40.97326,-74.272351,07470,WAYNE,970 BLACK OAK RIDGE RD,1,Regular elementary or secondary,345,65,63,63,47,262,4,0,79,0,0,0,0
A0502302,KEARNY CHRISTIAN ACADEMY,NJ,40.75827,-74.157111,07032,KEARNY,22 WILSON AVE,1,Regular elementary or secondary,105,3,8,13,11,70,2,13,13,0,3,4,0
A0502322,NEW JERSEY UNITED CHRISTIAN ACADEMY,NJ,40.11005,-74.531571,08514,CREAM RIDGE,73 HOLMES MILL RD,1,Regular elementary or secondary,52,9,8,12,11,21,14,2,14,0,0,1,0
A0502330,RAV TEITZ MESIVTA ACADEMY,NJ,40.666936,-74.234025,07208,ELIZABETH,330 ELMORA AVE,1,Regular elementary or secondary,201,36,33,47,32,201,0,0,0,0,0,0,0
A0502343,GOLDA OCH ACADEMY,NJ,40.77438,-74.279201,07052,WEST ORANGE,1418 PLEASANT VALLEY WAY,1,Regular elementary or secondary,521,35,48,34,37,517,0,0,2,0,0,2,0
A0502368,YESHIVA KEREN HATORAH,NJ,40.09224,-74.211041,08701,LAKEWOOD,120 2ND STREET,1,Regular elementary or secondary,138,36,36,34,32,138,0,0,0,0,0,0,0
A0502423,BNOS MARGULIA VIZNITZ,NY,40.643998,-73.994837,11219,BROOKLYN,971 41ST ST,1,Regular elementary or secondary,619,27,23,26,29,619,0,0,0,0,0,0,650
A0502427,BNOS YISROEL GIRLS' SCHOOL OF VIZNITZ,NY,41.12704,-74.070461,10952,MONSEY,PO BOX 446,1,Regular elementary or secondary,3396,236,190,204,193,3396,0,0,0,0,0,0,100
A0502522,MACHON BAIS YAAKOV HILDA BIRN HIGH SCHOOL,NY,40.63371,-73.979051,11204,BROOKLYN,1683 42ND ST,1,Regular elementary or secondary,124,31,23,28,42,124,0,0,0,0,0,0,0
A0502538,POUGHKEEPSIE DAY SCHOOL,NY,41.6583305,-73.8894098,12603,POUGHKEEPSIE,260 BOARDMAN RD,1,Regular elementary or secondary,261,30,23,22,30,168,17,12,18,24,8,14,0
A0502542,SAR HIGH SCHOOL,NY,40.90764,-73.904521,10471,BRONX,503 W 259TH ST,1,Regular elementary or secondary,536,135,134,120,147,536,0,0,0,0,0,0,0
A0502545,SHERI TORAH V'YOEL MOSHE,NY,41.325038,-74.16439,10949,MONROE,PO BOX 2027,1,Regular elementary or secondary,2690,169,130,134,143,2690,0,0,0,0,0,0,2152
